player_id,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0037557,Ronnie Rivers,LA,2024,8,0,1,00-0026498,0,MIN,0.43478260869565216,Healthy,386.0,386.0,17.5,0.0,0.0,0.0,00-0026498,4.0,279.0,4.0,279.0,51.0,0.0,0.0,0.0,0.54,0.8571,
00-0037594,Julius Chestnut,TEN,2024,8,0,0,00-0034771,0,DET,0.11111111111111116,Minor,416.0,416.0,8.5,4.5,0.0,0.0,00-0034771,1.0,266.0,1.0,266.0,49.0,9.0,0.0,0.0,0.6563,0.4286,1.0
00-0037609,Aaron Shampklin,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Healthy,,,5.666666666666667,0.0,0.0,0.0,,,,,,17.0,0.0,0.0,0.0,0.6102000000000001,0.8,
00-0037614,John Metchie III,HOU,2024,8,0,1,00-0039163,0,IND,0.6923076923076923,Healthy,363.0,363.0,0.0,7.0,0.0,0.0,00-0039163,1.0,285.0,1.0,285.0,0.0,36.0,0.0,0.0,0.5577000000000001,0.5556,1.0
00-0037617,Hassan Haskins,LAC,2024,8,0,1,00-0036355,0,NO,0.7560975609756098,Healthy,,,3.5,0.0,0.0,0.0,,,,,,18.0,0.0,0.0,0.0,0.5106,0.5333,
00-0037664,Alec Pierce,IND,2024,8,0,0,00-0026158,0,HOU,0.3076923076923077,Healthy,302.0,302.0,0.0,39.5,0.0,0.25,,,,,,0.0,394.0,0.0,3.0,0.5574,0.6667000000000001,1.0
00-0037666,Jalen Tolbert,DAL,2024,8,0,0,00-0033077,0,SF,0.29585798816568043,Healthy,,,0.0,49.0,0.0,0.5,,,,,,0.0,290.0,0.0,2.0,0.5254,0.6364,
00-0037740,Garrett Wilson,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Healthy,336.0,336.0,0.0,77.5,0.0,0.5,00-0023459,2.0,233.0,2.0,233.0,5.0,573.0,0.0,3.0,0.46149999999999997,0.7,1.0
00-0037741,Jahan Dotson,PHI,2024,8,0,0,00-0036389,0,CIN,0.4032258064516129,Healthy,397.0,397.0,3.25,7.25,0.0,0.0,00-0036389,1.0,236.0,1.0,236.0,13.0,35.0,0.0,0.0,0.5167,0.8,
00-0037744,Trey McBride,ARI,2024,8,0,0,00-0035228,0,MIA,0.3355704697986577,Healthy,389.0,389.0,0.0,66.66666666666667,0.0,0.0,00-0035228,2.0,307.0,2.0,307.0,0.0,446.0,0.0,0.0,0.6167,0.375,1.0
00-0037746,Brian Robinson,WAS,2024,8,0,1,00-0039910,0,CHI,0.5495495495495496,Healthy,,,63.333333333333336,4.0,1.3333333333333333,0.0,,,,,,396.0,68.0,6.0,0.0,0.6889,0.3333,
00-0037801,KaVontae Turpin,DAL,2024,8,0,0,00-0033077,0,SF,0.29585798816568043,Healthy,,,0.3333333333333333,41.666666666666664,0.0,0.3333333333333333,,,,,,3.0,129.0,0.0,1.0,0.5254,0.6364,
00-0037805,Jeremy Ruckert,NYJ,2024,8,0,0,00-0023459,0,NE,0.7101449275362319,Healthy,336.0,336.0,0.0,8.5,0.0,0.0,00-0023459,2.0,233.0,2.0,233.0,0.0,46.0,0.0,0.0,0.46149999999999997,0.7,1.0
00-0037809,Chig Okonkwo,TEN,2024,8,0,0,00-0034771,0,DET,0.11111111111111116,Healthy,416.0,416.0,0.0,19.0,0.0,0.0,00-0034771,1.0,266.0,1.0,266.0,0.0,121.0,0.0,1.0,0.6563,0.4286,1.0
00-0037816,Romeo Doubs,GB,2024,8,0,0,00-0036264,0,JAX,0.6153846153846154,Healthy,422.0,422.0,0.0,60.666666666666664,0.0,0.6666666666666666,00-0036264,0.0,196.0,0.0,196.0,0.0,384.0,0.0,2.0,0.5577000000000001,0.8181999999999999,1.0
00-0037834,Brock Purdy,SF,2024,8,0,1,00-0037834,0,DAL,0.7041420118343196,Healthy,,,22.5,0.0,0.5,0.0,,,,,,154.0,0.0,2.0,0.0,0.5962,0.5556,
00-0037837,Calvin Austin III,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Healthy,,,0.0,23.75,0.0,0.0,,,,,,0.0,203.0,0.0,1.0,0.6102000000000001,0.8,
00-0037838,Isaiah Likely,BAL,2024,8,0,0,00-0034796,0,CLE,0.75,Healthy,387.0,387.0,0.0,20.75,0.0,0.5,00-0034796,2.0,289.0,2.0,289.0,0.0,271.0,0.0,3.0,0.7111,0.5,1.0
00-0037840,Kyren Williams,LA,2024,8,0,1,00-0026498,1,MIN,0.43478260869565216,Healthy,386.0,386.0,90.25,10.0,1.5,0.25,00-0026498,4.0,279.0,4.0,279.0,533.0,90.0,8.0,2.0,0.54,0.8571,1.0
00-0038040,Zamir White,LV,2024,8,0,1,00-0038579,0,KC,0.22727272727272727,Healthy,,,31.5,7.0,0.0,0.0,,,,,,165.0,30.0,0.0,0.0,0.5088,0.5714,
00-0038041,Jake Ferguson,DAL,2024,8,0,0,00-0033077,0,SF,0.29585798816568043,Healthy,,,0.0,56.25,0.0,0.0,,,,,,0.0,240.0,0.0,0.0,0.5254,0.6364,
00-0038046,Charlie Kolar,BAL,2024,8,0,0,00-0034796,0,CLE,0.75,Healthy,387.0,387.0,1.0,39.0,0.0,0.5,00-0034796,2.0,289.0,2.0,289.0,2.0,121.0,0.0,1.0,0.7111,0.5,1.0
00-0038098,Pierre Strong,CLE,2024,8,0,1,00-0031503,0,BAL,0.25,Healthy,401.0,401.0,17.0,14.666666666666666,0.0,0.0,00-0031503,3.0,334.0,3.0,334.0,100.0,42.0,1.0,0.0,0.42310000000000003,0.7273000000000001,1.0
00-0038102,Kenny Pickett,PHI,2024,8,0,0,00-0036389,0,CIN,0.4032258064516129,Healthy,397.0,397.0,0.0,0.0,0.0,0.0,00-0036389,1.0,236.0,1.0,236.0,0.0,0.0,0.0,0.0,0.5167,0.8,
00-0038104,Tyquan Thornton,NE,2024,8,0,1,00-0039851,0,NYJ,0.2898550724637681,Healthy,249.0,249.0,0.0,0.0,0.0,0.0,00-0039851,0.0,23.0,0.0,23.0,0.0,47.0,0.0,0.0,0.48979999999999996,0.7273000000000001,1.0
00-0038108,Bailey Zappe,CLE,2024,8,0,1,00-0031503,0,BAL,0.25,Healthy,401.0,401.0,,,,,00-0031503,3.0,334.0,3.0,334.0,83.0,0.0,1.0,0.0,0.42310000000000003,0.7273000000000001,
