player_id,player_name,team,season,week,rookie,home,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0036613,Jaylen Waddle,MIA,2024,7,0,0,0,IND,0.3921568627450981,Healthy,337.0,337.0,1.0,37.25,0.0,0.0,7.0,269.0,0.0,0.0,0.5577000000000001,0.5556,1.0
00-0036626,Dyami Brown,WAS,2024,7,0,1,0,CAR,0.84251968503937,Healthy,421.0,421.0,0.0,22.0,0.0,0.25,0.0,128.0,0.0,1.0,0.6315999999999999,0.5556,1.0
00-0036628,John Bates,WAS,2024,7,0,1,0,CAR,0.84251968503937,Healthy,421.0,421.0,0.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,0.6315999999999999,0.5556,
00-0036630,Tylan Wallace,BAL,2024,7,0,0,0,TB,0.6491228070175439,Healthy,508.0,508.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.45,0.6154,
00-0036635,Ihmir Smith-Marsette,NYG,2024,7,0,1,0,PHI,0.4166666666666667,Healthy,119.0,119.0,,,,,,,,,0.65,0.5,
00-0036637,Noah Gray,KC,2024,7,0,0,0,SF,0.4132231404958677,Healthy,329.0,329.0,0.0,27.333333333333332,0.0,0.0,0.0,185.0,0.0,0.0,0.5254,0.6364,1.0
00-0036646,Simi Fehoko,LAC,2024,7,0,0,0,ARI,0.504950495049505,Questionable,395.0,395.0,0.0,30.5,0.0,0.0,0.0,106.0,0.0,0.0,0.6056,0.2727,1.0
00-0036674,Josh Pederson,JAX,2024,7,0,1,0,NE,0.7487437185929648,Healthy,366.0,366.0,,,,,,,,,0.46149999999999997,0.7,
00-0036727,Adam Prentice,NO,2024,7,0,1,0,DEN,0.44642857142857145,Healthy,271.0,271.0,,,,,0.0,0.0,0.0,0.0,0.5763,0.4286,
00-0036741,Jack Stoll,PHI,2024,7,0,0,0,NYG,0.5833333333333333,Healthy,339.0,339.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.6102000000000001,0.8,
00-0036754,Brock Wright,DET,2024,7,0,0,0,MIN,0.45871559633027525,Healthy,391.0,391.0,0.0,15.666666666666666,0.0,0.0,0.0,49.0,0.0,0.0,0.54,0.7778,
00-0036825,Feleipe Franks,CAR,2024,7,0,0,0,WAS,0.15748031496062997,Healthy,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5667,0.7143,
00-0036849,Tutu Atwell,LA,2024,7,0,1,0,LV,0.7802197802197802,Healthy,259.0,259.0,1.75,70.25,0.0,0.0,7.0,332.0,0.0,0.0,0.625,0.6364,1.0
